f_an_1,AF07ANS
f_an_2,AF16ANS
f_an_3,AF25ANS
f_an_4,AF26ANS
f_di_1,AF06DIS
f_di_2,AF12DIS
f_di_3,AF17DIS
f_di_4,AF27DIS
f_fr_1,AF09AFS
f_fr_2,AF14AFS
f_fr_3,AF19AFS
f_fr_4,AF21AFS
f_ha_1,AF01HAS
f_ha_2,AF03HAS
f_ha_3,AF05HAS
f_ha_4,AF34HAS
f_sa_1,AF11SAS
f_sa_2,AF20SAS
f_sa_3,AF31SAS
f_sa_4,AF32SAS
f_su_1,AF10SUS
f_su_2,AF13SUS
f_su_3,AF22SUS
f_su_4,AF30SUS
m_an_1,AM07ANS
m_an_2,AM10ANS
m_an_3,AM17ANS
m_an_4,AM29ANS
m_di_1,AM08DIS
m_di_2,AM21DIS
m_di_3,AM24DIS
m_di_4,AM28DIS
m_fr_1,AM14AFS
m_fr_2,AM22AFS
m_fr_3,AM23AFS
m_fr_4,AM35AFS
m_ha_1,AM02HAS
m_ha_2,AM04HAS
m_ha_3,AM13HAS
m_ha_4,AM25HAS
m_sa_1,AM05SAS
m_sa_2,AM16SAS
m_sa_3,AM26SAS
m_sa_4,AM31SAS
m_su_1,AM06SUS
m_su_2,AM09SUS
m_su_3,AM11SUS
m_su_4,AM34SUS
